bus_id,trip_id,trip_type,shift_time,trip_start_time,trip_end_time,scheduled_trip_minutes,scheduled_deadhead_minutes,mission_passengers,original_stop_count,matched_stop_count,unmatched_stop_count,routeable_trip,fully_matched_trip,routed_store_sequence,route_distance_km,estimated_route_minutes,start_min,end_min
8,74,INBOUND,11:00 AM,10:19 AM,10:28 AM,9.0,9.0,7.0,4,4,0,True,True,KFC - Al Mahboola -> BR - Qurain 2 -> Hardees - Fahd El Ahmed -> KFC - Fahd Al Ahmad,1.667,2.86,619,628
5,75,INBOUND,11:30 AM,10:19 AM,10:45 AM,26.0,0.0,3.0,3,3,0,True,True,KFC - Al Kout Mall -> BR - Om El Haiman -> KFC - Om El Himan,12.986,22.26,619,645
7,76,INBOUND,11:30 AM,10:21 AM,10:46 AM,25.0,11.0,6.0,4,4,0,True,True,Hardees - Adan -> Hardees - Al Qureen -> BR - Sabah Al Salem Block 1 -> Hardees - Sabah Al Salem,7.786,13.35,621,646
2,77,INBOUND,11:30 AM,10:21 AM,10:46 AM,25.0,8.0,4.0,4,4,0,True,True,Hardees - Al Zahr -> Hardees - Village -> Tikka - Qurain -> Hardees - Qurain Markets,12.078,20.7,621,646
12,78,INBOUND,11:30 AM,10:22 AM,10:36 AM,14.0,9.0,3.0,3,3,0,True,True,KFC - Alreqa -> Hardees - Fahd El Ahmed -> Hardees - Al Ahmadi,8.307,14.24,622,636
1,79,INBOUND,11:30 AM,10:26 AM,10:30 AM,4.0,8.0,1.0,1,1,0,True,True,BR - Al Bairak Mall,0.0,0.0,626,630
8,80,INBOUND,12:00 PM,10:46 AM,11:00 AM,14.0,2.0,2.0,2,2,0,True,True,TGIF - Gate Mall -> Hardees - Al Qureen,7.573,12.98,646,660
1,81,INBOUND,12:00 PM,10:55 AM,11:00 AM,4.0,4.0,1.0,1,1,0,True,True,Hardees - Al Sbahiya,0.0,0.0,655,660
4,82,INBOUND,12:30 PM,11:12 AM,11:30 AM,18.0,0.0,5.0,4,4,0,True,True,KFC - Alreqa -> BR - Fahd El Ahmed -> KFC Mubarek El-Kaber(Qurain 2) -> Hardees - Al Qureen 2,9.465,16.23,672,690
13,35,INBOUND,01:30 PM,11:26 AM,12:30 PM,64.0,4.0,2.0,2,2,0,True,True,Hardees - Khiran Hybrid Outlet -> Hardees - Khairan,2.078,3.56,686,750
1,83,INBOUND,12:30 PM,11:28 AM,11:30 AM,1.0,4.0,1.0,1,1,0,True,True,KFC - Al Mahboola,0.0,0.0,688,690
3,33,INBOUND,01:00 PM,11:45 AM,12:00 PM,14.0,0.0,5.0,3,3,0,True,True,TGIF - Abu Halifa -> KFC - Fahaheel -> TGIF - Al Kout Mall,8.91,15.27,705,720
1,34,INBOUND,01:00 PM,11:56 AM,12:00 PM,4.0,1.0,1.0,1,1,0,True,True,KFC - Al Bairak Mall,0.0,0.0,716,720
1,38,INBOUND,02:00 PM,12:18 PM,01:00 PM,42.0,4.0,1.0,1,1,0,True,True,Hardees - Sabah Al Ahmed,0.0,0.0,738,780
4,36,INBOUND,01:30 PM,12:19 PM,12:30 PM,11.0,8.0,3.0,2,2,0,True,True,KFC - Fahd Al Ahmad -> TGIF - Al Kout Mall,6.89,11.81,739,750
3,37,INBOUND,01:30 PM,12:23 PM,12:30 PM,6.0,8.0,2.0,1,1,0,True,True,KFC Mubarek El-Kaber(Qurain 2),0.0,0.0,743,750
12,39,INBOUND,02:00 PM,12:38 PM,01:00 PM,21.0,9.0,6.0,4,4,0,True,True,Wimpy - Divonne Complex -> TGIF - The Lake Mall -> Hardees - Al Qureen -> KFC - Sabah Al Salem 2,7.155,12.27,758,780
2,42,INBOUND,02:30 PM,12:43 PM,01:30 PM,46.0,9.0,3.0,2,2,0,True,True,KFC - Om El Himan -> Hardees - Sabah Al Ahmed,21.744,37.27,763,810
3,40,INBOUND,02:00 PM,12:46 PM,01:00 PM,13.0,6.0,6.0,3,3,0,True,True,Hardees - Fahd El Ahmed -> KFC - Al Mangaf -> TGIF - Al Kout Mall,6.982,11.97,766,780
4,41,INBOUND,02:00 PM,12:51 PM,01:00 PM,8.0,8.0,9.0,2,2,0,True,True,TGIF - Gate Mall -> KFC Mubarek El-Kaber(Qurain 2),2.297,3.94,771,780
8,43,INBOUND,02:30 PM,01:04 PM,01:30 PM,26.0,12.0,4.0,3,3,0,True,True,KFC - Mangaf 2 -> KFC - Fahaheel -> Hardees - Om El Himan,16.165,27.71,784,810
10,44,INBOUND,02:30 PM,01:08 PM,01:30 PM,22.0,14.0,5.0,4,4,0,True,True,KFC - Augiela 2 -> KFC - Loft Fintas -> KFC - Al Zahr -> Hardees - Qurain Markets,11.29,19.35,788,810
7,45,INBOUND,02:30 PM,01:11 PM,01:30 PM,19.0,14.0,5.0,4,4,0,True,True,Wimpy - Abu Halifa -> KFC - Abo Helifa -> Hardees - Al Sbahiya -> Hardees - Al Ahmadi,11.112,19.05,791,810
4,47,INBOUND,03:00 PM,01:18 PM,02:00 PM,42.0,6.0,1.0,1,1,0,True,True,Hardees - Sabah Al Ahmed,0.0,0.0,798,840
3,46,INBOUND,02:30 PM,01:22 PM,01:30 PM,8.0,8.0,1.0,1,1,0,True,True,Wimpy - Divonne Complex,0.0,0.0,802,810
12,48,INBOUND,03:00 PM,01:42 PM,02:00 PM,18.0,13.0,3.0,3,3,0,True,True,TGIF - Abu Halifa -> TGIF - The Lake Mall -> KFC - S Al Salem,12.377,21.22,822,840
3,49,INBOUND,03:00 PM,01:58 PM,02:00 PM,2.0,8.0,1.0,1,1,0,True,True,KFC - Alreqa,0.0,0.0,838,840
3,50,INBOUND,03:30 PM,02:19 PM,02:30 PM,10.0,2.0,3.0,2,2,0,True,True,TGIF - Abu Halifa -> KFC - Village,6.759,11.59,859,870
7,51,INBOUND,04:00 PM,02:34 PM,03:00 PM,26.0,9.0,11.0,3,3,0,True,True,TGIF - Al Kout Mall -> KFC - Al Kout Mall -> KFC - Om El Himan,13.108,22.47,874,900
10,52,INBOUND,04:00 PM,02:38 PM,03:00 PM,22.0,9.0,12.0,4,4,0,True,True,TGIF - Gate Mall -> TGIF - The Lake Mall -> KFC - S Al Salem -> Hardees - Sabah Al Salem,11.368,19.49,878,900
12,53,INBOUND,04:00 PM,02:40 PM,03:00 PM,20.0,13.0,4.0,4,4,0,True,True,Hardees - Fahd El Ahmed -> KFC - Fahd Al Ahmad -> KFC - Al Mangaf -> Hardees - Al Ahmadi,11.543,19.79,880,900
3,54,INBOUND,04:00 PM,02:47 PM,03:00 PM,12.0,8.0,9.0,3,3,0,True,True,TGIF - Abu Halifa -> KFC - Al Bairak Mall -> Hardees - Al Zahr,6.761,11.59,887,900
3,MIX_30,MIXED,04:30 PM,03:18 PM,05:28 PM,130.0,6.0,14.0,7,7,0,True,True,KFC - Sabah Al Ahmad 2 -> Hardees - Sabah Al Salem -> KFC - S Al Salem -> TGIF - The Lake Mall -> Hardees - Al Qureen 2 -> Hardees - Village -> Krispy Kreme Alyia Ghalyia Tower,71.231,122.11,918,1048
12,55,INBOUND,05:00 PM,03:58 PM,04:00 PM,2.0,9.0,1.0,1,1,0,True,True,KFC - Alreqa,0.0,0.0,958,960
10,MIX_1,MIXED,05:30 PM,04:00 PM,07:23 PM,203.0,14.0,23.0,15,15,0,True,True,BR - Khiran Outlet -> KFC - Khiran Outlet -> Krispy Kreme - Khiran Hybrid O -> Hardees - Khiran Hybrid Outlet -> Krispy Kreme - Khiran Square M -> Hardees - Sabah Al Ahmed -> KFC - Sabah Al Ahmad 2 -> TGIF - The Lake Mall -> Krispy Kreme - Divonne -> Hardees - Village -> KFC - Village -> KFC - Al Mangaf -> KFC - Loft Fintas -> KFC - Fahd Al Ahmad -> Hardees - Fahd El Ahmed,106.971,183.38,960,1163
12,MIX_4,MIXED,06:00 PM,04:30 PM,11:04 PM,394.0,2.0,44.0,18,18,0,True,True,Krispy Kreme - Khiran Hybrid O -> Tikka - Fahaheel DK -> BR - Sabah Al Ahmed Coop -> KFC - Sabah Al Ahmad 2 -> KFC - Om El Himan -> Hardees - Om El Himan -> Hardees - Sabah Al Salem Block -> Hardees - Sabah Al Salem -> Krispy Kreme - Sabah Al Salem -> KFC - Aswaq Al Qurain -> KFC - Al Kout Mall -> Hardees - Al Fahaheel -> Wimpy - Divonne Complex -> Krispy Kreme - Divonne -> Hardees - Village -> KFC - Village -> KFC - Loft Fintas -> TGIF - Gate Mall,282.818,484.83,990,1384
8,MIX_2,MIXED,05:30 PM,04:57 PM,05:13 PM,15.0,22.0,18.0,3,3,0,True,True,KFC - Abo Helifa -> KFC - Alreqa -> Hardees - Al Fintas,5.806,9.95,1017,1033
5,MIX_31,MIXED,06:30 PM,05:16 PM,07:56 PM,160.0,22.0,38.0,9,9,0,True,True,BR - Sabah Al Ahmed Coop -> Hardees - Sabah Al Ahmed -> KFC - Sabah Al Ahmad 2 -> Hardees - Sabah Al Salem -> KFC - S Al Salem -> Hardees - Al Ahmadi -> KFC - Al Ahmadi -> Tikka - Qurain -> KFC - Al Bairak Mall,91.655,157.12,1036,1196
7,MIX_5,MIXED,06:00 PM,05:16 PM,06:21 PM,65.0,22.0,39.0,8,8,0,True,True,KFC - S Al Salem -> KFC - Sabah Al Salem 2 -> Hardees - Al Qureen -> Hardees - Adan -> KFC - Adan -> Hardees - Qurain Markets -> KFC - Al Ahmadi -> KFC - Abo Helifa,32.634,55.94,1036,1101
9,MIX_6,MIXED,06:00 PM,05:20 PM,07:00 PM,100.0,22.0,41.0,10,10,0,True,True,Hardees - Al Ahmadi -> KFC - Qureen -> Krispy Kreme - Aswaq Al Qurain -> BR - Kout Mall -> Krispy Kreme - Fahaheel -> KFC - Fahaheel -> Tikka - Qurain -> Krispy Kreme Mangaf Sultan Centr -> Hardees - Fahd El Ahmed -> KFC - Alreqa,66.298,113.65,1040,1140
1,MIX_7,MIXED,06:00 PM,05:22 PM,06:10 PM,48.0,42.0,42.0,6,6,0,True,True,Hardees - Al Qureen 2 -> KFC Mubarek El-Kaber(Qurain 2) -> KFC - Al Zahr -> Hardees - Al Zahr -> KFC - Al Mangaf -> KFC - Augiela 2,23.774,40.76,1042,1090
8,MIX_8,MIXED,06:00 PM,05:24 PM,06:06 PM,42.0,0.0,31.0,8,8,0,True,True,Hardees - Al Mangaf -> KFC - Mangaf 2 -> Hardees - Augiela 2 -> KFC - Fahd Al Ahmad -> Hardees - Al Fintas -> KFC - Al Mahboola -> Wimpy - Abu Halifa -> Krispy Kreme Alyia Ghalyia Tower,18.938,32.46,1044,1086
3,MIX_32,MIXED,06:30 PM,05:52 PM,06:48 PM,56.0,0.0,16.0,8,8,0,True,True,Hardees - Al Qureen 2 -> Hardees - Al Mangaf -> Hardees - Al Sbahiya -> BR - The Gate Mall -> KFC - Augiela 2 -> Krispy Kreme - Gate Mall -> KFC - Al Mahboola -> Wimpy - Abu Halifa,30.199,51.77,1072,1128
2,MIX_12,MIXED,07:30 PM,05:58 PM,10:17 PM,259.0,42.0,35.0,20,20,0,True,True,Hardees - Khairan -> BR - Khiran Outlet -> KFC - Khiran Outlet -> Krispy Kreme - Khiran Hybrid O -> Hardees - Khiran Hybrid Outlet -> BR - Sabah Al Ahmed Coop -> KFC - Sabah Al Ahmad 2 -> KFC - Om El Himan -> Hardees - Om El Himan -> KFC - Sabah Al Salem 2 -> Hardees - Adan -> KFC - Adan -> KFC - Aswaq Al Qurain -> Hardees - Al Fahaheel -> KFC - Al Zahr -> KFC - Al Mangaf -> KFC - Mangaf 2 -> BR - Al Fintas -> KFC - Al Mahboola -> TGIF - Abu Halifa,150.258,257.58,1078,1337
1,MIX_24,MIXED,08:00 PM,06:48 PM,10:19 PM,211.0,0.0,44.0,14,14,0,True,True,Hardees - Sabah Al Ahmed -> KFC - Sabah Al Ahmad 2 -> KFC - Om El Himan -> BR - Om El Haiman -> Hardees - Om El Himan -> Hardees - Sabah Al Salem -> KFC - Adan -> KFC - Al Kout Mall -> TGIF - The Lake Mall -> Krispy Kreme - Fahaheel -> TGIF - Al Kout Mall -> Tikka - Qurain -> KFC - Loft Fintas -> Hardees - Augiela 2,131.987,226.26,1128,1339
7,MIX_13,MIXED,07:30 PM,06:52 PM,07:45 PM,54.0,0.0,27.0,7,7,0,True,True,BR - Qurain 1 -> Hardees - Al Mangaf -> KFC - Loft Fintas -> BR - Reqa -> KFC - Fahd Al Ahmad -> Hardees - Fahd El Ahmed -> KFC - Alreqa,28.885,49.52,1132,1185
8,MIX_14,MIXED,07:30 PM,06:58 PM,07:10 PM,13.0,0.0,6.0,3,3,0,True,True,BR - Fahd El Ahmed -> Hardees - Al Fintas -> Wimpy - Abu Halifa,3.624,6.21,1138,1150
3,MIX_20,MIXED,08:30 PM,06:58 PM,11:43 PM,285.0,0.0,33.0,23,23,0,True,True,Hardees - Khairan -> KFC - Khiran Outlet -> Hardees - Sabah Al Ahmed -> KFC - Sabah Al Ahmad 2 -> KFC - Om El Himan -> BR - Om El Haiman -> Hardees - Sabah Al Salem -> BR - Sabah Al Salem Block 1 -> Hardees - Al Qureen -> Hardees - Adan -> Hardees - Qurain Markets -> Hardees - Al Ahmadi -> KFC - Al Kout Mall -> Tikka - Qurain -> Hardees - Village -> KFC Mubarek El-Kaber(Qurain 2) -> KFC - Al Zahr -> Hardees - Al Zahr -> Hardees - Al Sbahiya -> Hardees - Augiela 2 -> BR - Al Bairak Mall -> Hardees - Fahd El Ahmed -> Hardees - Al Fintas,169.393,290.39,1138,1423
4,136,OUTBOUND,07:00 PM,07:00 PM,07:22 PM,22.0,34.0,8.0,4,4,0,True,True,Krispy Kreme - Kout Mall -> BR - Kout Mall -> TGIF - Al Kout Mall -> KFC - Loft Fintas,11.738,20.12,1140,1162
11,137,OUTBOUND,07:00 PM,07:00 PM,07:08 PM,8.0,51.0,1.0,1,1,0,True,True,TGIF - The Lake Mall,0.0,0.0,1140,1148
9,MIX_25,MIXED,08:00 PM,07:15 PM,08:25 PM,70.0,0.0,44.0,12,12,0,True,True,Hardees - Sabah Al Salem Block -> BR - Sabah Al Salem Block 1 -> KFC - S Al Salem -> KFC - Sabah Al Salem 2 -> BR - Qurain 3 -> Hardees - Adan -> Hardees - Qurain Markets -> TGIF - Gate Mall -> BR - The Gate Mall -> KFC - Augiela 2 -> KFC - Abo Helifa -> BR - Reqa,28.283,48.49,1155,1225
11,MIX_26,MIXED,08:00 PM,07:18 PM,08:50 PM,92.0,0.0,36.0,9,9,0,True,True,Hardees - Al Qureen -> Hardees - Al Ahmadi -> KFC - Al Ahmadi -> KFC - Qureen -> KFC - Aswaq Al Qurain -> BR - Aswaq Al Qurain -> BR - Fahaheel -> BR - Fahd El Ahmed -> KFC - Al Mahboola,59.148,101.4,1158,1250
8,MIX_27,MIXED,08:00 PM,07:21 PM,08:11 PM,50.0,0.0,35.0,6,6,0,True,True,KFC - Fahaheel -> Wimpy - Divonne Complex -> BR - Divonne -> BR - Qurain 1 -> Hardees - Al Qureen 2 -> Hardees - Village,20.914,35.85,1161,1211
6,MIX_28,MIXED,08:00 PM,07:22 PM,08:05 PM,43.0,61.0,30.0,6,6,0,True,True,KFC - Village -> KFC Mubarek El-Kaber(Qurain 2) -> KFC - Al Zahr -> Hardees - Al Zahr -> KFC - Al Mangaf -> Hardees - Al Mangaf,16.784,28.77,1162,1205
13,MIX_29,MIXED,08:00 PM,07:25 PM,07:53 PM,29.0,61.0,15.0,5,5,0,True,True,KFC - Mangaf 2 -> BR - Al Fintas -> KFC - Fahd Al Ahmad -> Hardees - Fahd El Ahmed -> BR - Qurain 2,11.739,20.12,1165,1193
4,MIX_9,MIXED,09:00 PM,07:48 PM,10:18 PM,150.0,0.0,16.0,9,9,0,True,True,Hardees - Sabah Al Ahmed -> Hardees - Om El Himan -> Hardees - Al Qureen -> Hardees - Al Zahr -> Hardees - Al Mangaf -> Hardees - Al Sbahiya -> TGIF - Gate Mall -> Hardees - Augiela 2 -> Hardees - Al Fintas,86.167,147.71,1188,1338
7,MIX_21,MIXED,08:30 PM,07:56 PM,08:12 PM,17.0,0.0,17.0,3,3,0,True,True,KFC - Augiela 2 -> KFC - Alreqa -> KFC - Al Mahboola,5.6,9.6,1196,1212
5,MIX_23,MIXED,09:30 PM,08:38 PM,10:35 PM,117.0,0.0,24.0,13,13,0,True,True,Hardees - Om El Himan -> Hardees - Sabah Al Salem Block -> Hardees - Al Qureen -> Hardees - Adan -> Hardees - Al Qureen 2 -> KFC Mubarek El-Kaber(Qurain 2) -> KFC - Al Mangaf -> KFC - Mangaf 2 -> KFC - Fahd Al Ahmad -> BR - Fahd El Ahmed -> KFC - Alreqa -> Hardees - Al Fintas -> KFC - Al Mahboola,65.496,112.28,1238,1355
6,138,OUTBOUND,10:00 PM,10:00 PM,10:14 PM,14.0,8.0,5.0,3,3,0,True,True,TGIF - Al Kout Mall -> KFC - Fahaheel -> TGIF - Abu Halifa,8.91,15.27,1320,1334
7,139,OUTBOUND,10:00 PM,10:00 PM,10:03 PM,4.0,4.0,1.0,1,1,0,True,True,KFC - Al Bairak Mall,0.0,0.0,1320,1323
8,140,OUTBOUND,10:30 PM,10:30 PM,11:33 PM,64.0,61.0,2.0,2,2,0,True,True,Hardees - Khairan -> Hardees - Khiran Hybrid Outlet,2.078,3.56,1350,1413
7,141,OUTBOUND,10:30 PM,10:30 PM,10:40 PM,11.0,8.0,3.0,2,2,0,True,True,TGIF - Al Kout Mall -> KFC - Fahd Al Ahmad,6.89,11.81,1350,1360
9,142,OUTBOUND,10:30 PM,10:30 PM,10:36 PM,6.0,6.0,2.0,1,1,0,True,True,KFC Mubarek El-Kaber(Qurain 2),0.0,0.0,1350,1356
10,143,OUTBOUND,11:00 PM,11:00 PM,11:41 PM,42.0,42.0,1.0,1,1,0,True,True,Hardees - Sabah Al Ahmed,0.0,0.0,1380,1421
1,144,OUTBOUND,11:00 PM,11:00 PM,11:21 PM,21.0,13.0,6.0,4,4,0,True,True,KFC - Sabah Al Salem 2 -> Hardees - Al Qureen -> TGIF - The Lake Mall -> Wimpy - Divonne Complex,7.155,12.27,1380,1401
2,145,OUTBOUND,11:00 PM,11:00 PM,11:13 PM,13.0,8.0,6.0,3,3,0,True,True,TGIF - Al Kout Mall -> KFC - Al Mangaf -> Hardees - Fahd El Ahmed,6.982,11.97,1380,1393
4,146,OUTBOUND,11:00 PM,11:00 PM,11:08 PM,8.0,6.0,9.0,2,2,0,True,True,KFC Mubarek El-Kaber(Qurain 2) -> TGIF - Gate Mall,2.297,3.94,1380,1388
5,147,OUTBOUND,11:30 PM,11:30 PM,12:16 AM,46.0,42.0,3.0,2,2,0,True,True,Hardees - Sabah Al Ahmed -> KFC - Om El Himan,21.744,37.27,1410,1456
6,148,OUTBOUND,11:30 PM,11:30 PM,11:55 PM,26.0,22.0,4.0,3,3,0,True,True,Hardees - Om El Himan -> KFC - Fahaheel -> KFC - Mangaf 2,16.165,27.71,1410,1435
4,149,OUTBOUND,11:30 PM,11:30 PM,11:51 PM,22.0,9.0,5.0,4,4,0,True,True,Hardees - Qurain Markets -> KFC - Al Zahr -> KFC - Loft Fintas -> KFC - Augiela 2,11.29,19.35,1410,1431
7,150,OUTBOUND,11:30 PM,11:30 PM,11:48 PM,19.0,9.0,5.0,4,4,0,True,True,Hardees - Al Ahmadi -> Hardees - Al Sbahiya -> KFC - Abo Helifa -> Wimpy - Abu Halifa,11.112,19.05,1410,1428
9,151,OUTBOUND,11:30 PM,11:30 PM,11:37 PM,8.0,8.0,1.0,1,1,0,True,True,Wimpy - Divonne Complex,0.0,0.0,1410,1417
